iteration,matches,theta_deg,tx,ty,target_centroid_x,target_centroid_y,source_centroid_x,source_centroid_y,centroid_distance,rmse_source_to_target,rmse_target_to_source,symmetric_chamfer_rmse,median_distance,p95_distance,max_distance,coverage,match_rmse,profile_score,score_variation,transform_step
10,84859,-3.0353753651,-384.4699421585,312.2391134061,4860.4952257433,5000.2486525847,5301.0520541164,4541.9190346646,635.7329295301,314.4969114556,312.6473069641,313.5734729430,139.5737707303,771.7781868007,1283.1497860340,0.8418200000,160.1220038198,0.0334112695,0.0258527029,0.0074941934
11,85171,-3.4194451260,-429.3129639903,351.1346382042,4860.4952257433,5000.2486525847,5284.4338206360,4542.6081604390,623.8258990222,305.8094828585,302.7856326949,304.3013138097,137.2138676857,748.7489053543,1246.5586169197,0.8475850000,159.1641421805,0.0325451403,0.0259232655,0.0075488621
12,85466,-3.7947806509,-472.1211524828,389.6586486111,4860.4952257433,5000.2486525847,5268.9605131013,4543.6126584093,612.6665668640,297.6572762746,293.4268473220,295.5496310677,135.4027855941,724.7334983773,1211.6634510033,0.8550200000,158.1793453106,0.0317290319,0.0250761987,0.0073444868
13,85855,-4.1654469430,-513.3375566933,427.7232317875,4860.4952257433,5000.2486525847,5254.4971535187,4544.4495236481,602.4868173081,290.0493154647,284.5195386890,287.2977317151,133.8813641965,699.8087204316,1178.1020378860,0.8623750000,157.9601177699,0.0309655803,0.0240616117,0.0071970595
14,86506,-4.5659739539,-557.5681399458,468.3933770333,4860.4952257433,5000.2486525847,5238.9034444358,4544.6992755007,592.2145007813,282.1152913374,275.1542487306,278.6565073714,132.0616337158,672.3216058243,1141.9816365377,0.8686950000,159.2197627308,0.0301729628,0.0255967252,0.0077418989
15,87238,-5.0183755167,-607.6196077510,513.1821752902,4860.4952257433,5000.2486525847,5220.8570428288,4543.5931394561,581.7171966547,273.4529785340,264.8603598408,269.1909560926,130.0106458697,640.7573799148,1100.9564024853,0.8747000000,160.3761553626,0.0293180794,0.0283327636,0.0087035491
16,87953,-5.5112317781,-662.4659014358,561.3777634609,4860.4952257433,5000.2486525847,5200.4641394090,4541.5038849026,570.9865358612,264.2638026175,253.9654391208,259.1657786453,127.6078195598,605.7907188733,1055.8995035094,0.8825650000,160.5709551505,0.0284194992,0.0306493532,0.0094790351
17,88475,-5.9879415903,-715.6618585110,607.4498972081,4860.4952257433,5000.2486525847,5180.1801402253,4538.6583287673,561.4838124017,255.7457813872,243.8186957479,249.8534181210,125.3548722763,572.3279254896,1027.2221616297,0.8942450000,159.0779191538,0.0275930299,0.0290810660,0.0091590401
18,89279,-6.4747255924,-768.9118973501,653.7912179616,4860.4952257433,5000.2486525847,5160.1163970989,4534.7673954261,553.5753309988,247.7700740147,234.0730418118,241.0188773522,123.1037354507,538.9126510365,1028.8019328022,0.9050700000,159.2225260148,0.0268285300,0.0277062683,0.0092667427
19,90366,-7.0283221577,-827.5529799036,706.1725073758,4860.4952257433,5000.2486525847,5138.6962916739,4529.6816594276,546.6526576664,239.5671213394,223.6689480477,231.7544001174,120.7829599345,503.8790601407,1029.5596252497,0.9129150000,160.3568139141,0.0260510558,0.0289793812,0.0104201554
20,91093,-7.6203671963,-887.4130975925,761.0441831537,4860.4952257433,5000.2486525847,5118.0257917037,4522.7002484197,542.5628726004,231.3994754015,213.3618973685,222.5634925867,117.9649045222,470.7587774739,1029.2458342997,0.9268300000,158.6520523253,0.0253288626,0.0277222228,0.0109393861
