run,region,iteration,milliseconds
4,rigid_transform,27,0.57758200
4,profile_metrics,27,591.53250500
4,nearest_neighbors,28,300.29596100
4,rigid_transform,28,0.58349900
4,profile_metrics,28,582.37625000
4,nearest_neighbors,29,306.88543800
4,rigid_transform,29,0.58838400
4,profile_metrics,29,593.02731200
4,nearest_neighbors,30,305.22497200
4,rigid_transform,30,0.62611100
4,profile_metrics,30,589.15753200
4,nearest_neighbors,31,303.27935100
4,rigid_transform,31,0.59615000
4,profile_metrics,31,587.77813800
4,nearest_neighbors,32,292.81398200
4,rigid_transform,32,0.61473000
4,profile_metrics,32,586.21511300
4,nearest_neighbors,33,288.76417600
4,rigid_transform,33,0.71869200
4,profile_metrics,33,590.33277600
4,nearest_neighbors,34,287.32024700
4,rigid_transform,34,0.62381400
4,profile_metrics,34,595.56303000
4,nearest_neighbors,35,290.05932500
4,rigid_transform,35,0.63860800
4,profile_metrics,35,608.31721800
4,nearest_neighbors,36,296.04620500
4,rigid_transform,36,0.61060300
4,profile_metrics,36,624.00783000
4,nearest_neighbors,37,300.10222600
4,rigid_transform,37,1.07273600
4,profile_metrics,37,617.41514500
4,nearest_neighbors,38,298.59794000
4,rigid_transform,38,0.61222000
4,profile_metrics,38,625.34351600
4,nearest_neighbors,39,305.13542900
4,rigid_transform,39,0.65252800
4,profile_metrics,39,627.72412000
4,nearest_neighbors,40,303.14421800
4,rigid_transform,40,0.60864500
4,profile_metrics,40,622.33341100
4,nearest_neighbors,41,306.54233100
4,rigid_transform,41,0.63531400
4,profile_metrics,41,628.50512500
4,nearest_neighbors,42,302.06015800
4,rigid_transform,42,0.61254800
4,profile_metrics,42,623.41126300
4,nearest_neighbors,43,306.46406700
4,rigid_transform,43,0.61156500
4,profile_metrics,43,623.80078900
4,nearest_neighbors,44,305.65831600
4,rigid_transform,44,0.60400000
4,profile_metrics,44,630.66738600
4,nearest_neighbors,45,307.62231300
4,rigid_transform,45,0.56595600
4,profile_metrics,45,624.07553800
5,target_generation,0,13.2809
5,source_preparation,0,30.0385
5,grid_construction,0,3.85593
5,nearest_neighbors,1,388.10068
5,rigid_transform,1,0.60000
5,profile_metrics,1,786.88258
5,nearest_neighbors,2,376.89537700
5,rigid_transform,2,0.59731200
5,profile_metrics,2,773.90298500
5,nearest_neighbors,3,365.73265600
5,rigid_transform,3,0.53067000
5,profile_metrics,3,803.80547500
5,nearest_neighbors,4,375.97174400
5,rigid_transform,4,0.53174000
5,profile_metrics,4,748.19797600
5,nearest_neighbors,5,344.10177600
5,rigid_transform,5,0.58758400
5,profile_metrics,5,714.49754500
5,nearest_neighbors,6,338.88062500
5,rigid_transform,6,0.54625000
5,profile_metrics,6,702.16790300
5,nearest_neighbors,7,334.23553600
5,rigid_transform,7,0.55842900
5,profile_metrics,7,691.84267900
5,nearest_neighbors,8,331.07462500
5,rigid_transform,8,0.72002800
5,profile_metrics,8,675.04067100
5,nearest_neighbors,9,325.69108900
5,rigid_transform,9,0.53903800
5,profile_metrics,9,765.72258300
5,nearest_neighbors,10,341.88133300
5,rigid_transform,10,0.63332300
5,profile_metrics,10,925.67760800
5,nearest_neighbors,11,390.53379300
5,rigid_transform,11,0.46172100
5,profile_metrics,11,726.58202800
5,nearest_neighbors,12,315.09400600
5,rigid_transform,12,0.54811300
5,profile_metrics,12,654.66492600
5,nearest_neighbors,13,321.84127800
5,rigid_transform,13,0.53756700
5,profile_metrics,13,615.39160500
5,nearest_neighbors,14,299.65034300
5,rigid_transform,14,0.53878200
5,profile_metrics,14,595.91169700
5,nearest_neighbors,15,308.83901400
5,rigid_transform,15,0.68798900
5,profile_metrics,15,637.79828600
5,nearest_neighbors,16,306.16296200
5,rigid_transform,16,0.59259700
5,profile_metrics,16,579.90052200
5,nearest_neighbors,17,289.75715000
5,rigid_transform,17,0.56199400
5,profile_metrics,17,579.31183700
5,nearest_neighbors,18,291.03648800
5,rigid_transform,18,0.56471700
5,profile_metrics,18,576.26803000
5,nearest_neighbors,19,292.34627300
5,rigid_transform,19,0.56458900
5,profile_metrics,19,570.67569200
5,nearest_neighbors,20,287.49413300
5,rigid_transform,20,0.60146900
5,profile_metrics,20,563.21425200
5,nearest_neighbors,21,286.21251300
5,rigid_transform,21,0.57509400
5,profile_metrics,21,589.76144200
5,nearest_neighbors,22,292.66522500
5,rigid_transform,22,0.65329500
5,profile_metrics,22,561.95242900
5,nearest_neighbors,23,295.49405000
5,rigid_transform,23,0.58747100
5,profile_metrics,23,563.49673200
5,nearest_neighbors,24,294.27164800
5,rigid_transform,24,0.58530800
5,profile_metrics,24,578.07003300
5,nearest_neighbors,25,302.06174400
5,rigid_transform,25,0.58617500
5,profile_metrics,25,585.23760400
5,nearest_neighbors,26,309.95836000
5,rigid_transform,26,0.70107600
5,profile_metrics,26,581.98138800
5,nearest_neighbors,27,307.04225000
5,rigid_transform,27,0.58342700
5,profile_metrics,27,611.93495500
5,nearest_neighbors,28,308.98876500
5,rigid_transform,28,0.59809400
5,profile_metrics,28,652.27644500
5,nearest_neighbors,29,360.30709000
5,rigid_transform,29,0.62000800
5,profile_metrics,29,595.42566500
5,nearest_neighbors,30,303.13365600
5,rigid_transform,30,0.60246200
5,profile_metrics,30,587.88731000
5,nearest_neighbors,31,302.25075000
5,rigid_transform,31,0.62025900
5,profile_metrics,31,578.23749800
5,nearest_neighbors,32,297.19572300
5,rigid_transform,32,0.60946900
5,profile_metrics,32,581.51052600
5,nearest_neighbors,33,290.81703700
5,rigid_transform,33,0.70164200
5,profile_metrics,33,582.69766400
5,nearest_neighbors,34,301.73926800
5,rigid_transform,34,0.61430300
5,profile_metrics,34,609.35272700
5,nearest_neighbors,35,291.17391100
5,rigid_transform,35,0.61551400
5,profile_metrics,35,603.85848000
5,nearest_neighbors,36,296.75135800
5,rigid_transform,36,0.62028400
5,profile_metrics,36,607.94865000
5,nearest_neighbors,37,298.64873900
5,rigid_transform,37,0.62063500
5,profile_metrics,37,614.15021000
5,nearest_neighbors,38,302.79571000
5,rigid_transform,38,0.67882000
5,profile_metrics,38,621.04678400
5,nearest_neighbors,39,302.09806900
5,rigid_transform,39,0.61276900
5,profile_metrics,39,623.25126200
5,nearest_neighbors,40,307.60891800
5,rigid_transform,40,0.61521800
5,profile_metrics,40,622.97028000
5,nearest_neighbors,41,316.64037500
5,rigid_transform,41,0.62461600
5,profile_metrics,41,638.69621100
5,nearest_neighbors,42,303.08069800
5,rigid_transform,42,0.61276100
5,profile_metrics,42,619.97560800
5,nearest_neighbors,43,304.93824000
5,rigid_transform,43,0.60899900
5,profile_metrics,43,624.81424900
5,nearest_neighbors,44,304.42239700
5,rigid_transform,44,0.61349800
5,profile_metrics,44,627.68375400
5,nearest_neighbors,45,307.87583500
5,rigid_transform,45,0.61418200
5,profile_metrics,45,622.42319400
1,file_export,0,5723.73444800
1,gstreamer,0,9454.28774000
2,file_export,0,5842.35946600
2,gstreamer,0,9564.48856800
3,file_export,0,5937.71240200
3,gstreamer,0,9505.25785600
4,file_export,0,5935.66896200
4,gstreamer,0,9552.87042800
5,file_export,0,5879.95964000
5,gstreamer,0,9198.30051800
