Using local file ./point_cloud_collimation.
Using local file point_cloud.prof.
Total: 3336 samples
       0   0.0% 100.0%     3336 100.0% __libc_start_call_main
       0   0.0% 100.0%     3336 100.0% __libc_start_main_impl
       0   0.0% 100.0%        1   0.0% __printf_fp_l_buffer
       0   0.0% 100.0%        1   0.0% __printf_fp_spec
       0   0.0% 100.0%        2   0.1% __vsnprintf_internal
       0   0.0% 100.0%        2   0.1% std::__cxx11::collate::do_transform
       0   0.0% 100.0%        2   0.1% std::num_put::_M_insert_float
       0   0.0% 100.0%        2   0.1% std::ostream::_M_insert
       0   0.0% 100.0%        2   0.1% systrim

